Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-05-08,AYLA,0.6089,6.4487,0.1126,,1.0,6.433,-0.685268,,,0.0,-1.2213,1.2466,-0.315737,-8.030475,-8.129989,-0.785093,0.0,102753105,United States of America,0.0,FALSE,2836,15.66,5.95,
2020-03-12,IMRA,,,,,1.0,14.4717,-0.732384,,,,,1.0952,-0.207829,,,-0.489844,0.0,299312218.4,United States of America,20.0,FALSE,2834,14.0,1.5,
2020-03-03,GFL,4.2311,5.0816,0.2863,-0.469898,0.694757,0.9632,-2.882675,,-14.1156,0.045303,0.2337,1.3484,0.202371,-0.189576,-0.474191,-0.13066,0.0,15304173418,Canada,0.0,FALSE,4953,17.44386522,32.11,
2020-02-13,GRIL,,32.3247,0.5337,-4.367393,0.798857,1.4449,0.554707,-1.050236,-57.9868,1.0,2.1765,2.7751,-3.241888,-2.225901,-2.257567,-1.742689,0.121861,10528051.8,United States of America,0.0,FALSE,5810,4.7,0.612,
2020-02-06,BEAM,,,0.0001,,1.0,3.0128,-1.453566,,,1.0,-0.0012,1.754,-0.525228,-5531.666667,-8108,-0.792439,0.0,4793351869,United States of America,0.0,FALSE,2836,24.0,66.61,
2020-01-30,BDTX,,,,,1.0,22.4753,-0.948783,-0.658215,-42640.0,,,1.0581,-0.069141,,,-0.211003,0.0,843144201.8,United States of America,0.0,FALSE,2836,33.0,3.99,
2020-01-17,LIZI,15.5694,269.7765,5.0506,,0.810694,1.4548,0.455513,-1.117787,,0.245012,-9.7369,4.9116,-0.093523,-0.059012,-0.054683,-0.485747,0.189306,472821805.7,China,0.0,FALSE,7370,11.03,1.32,
2020-12-31,CMPX,,,,-9.838734,0.810589,4.971,0.164479,,-23.8708,,,1.302,-0.532537,,,-0.738515,0.151525,73997849.8,United States of America,0.0,FALSE,2836,3.21,2.07,
2020-12-31,GENI,9.7501,6.9401,0.3908,-0.01608,-0.458275,0.7187,2.417173,,-0.6074,0.238235,0.5034,1.7079,0.213733,-0.140498,-0.202673,0.217662,0.033762,431889007.6,United Kingdom,0.0,FALSE,7990,16.5,5.85,
2020-12-31,VNT,3.017,5.7686,0.9165,0.33841,0.093999,1.4101,-0.15085,1.413166,,0.439289,1.5566,2.9395,0.008002,0.173112,0.126451,1.821086,0.005456,7075160979,United States of America,0.0,FALSE,3824,32.97757325,27.59,
