Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcffqoqgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,Itdebttocap,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price
2020-02-11,CCAC,,,,,-0.187201,,,,,,,,,,1.2011,,-8607.014468,,,0.241422,0,588058024,People??s Republic of China,,FALSE,6770,9.75,10.05
2020-02-06,BEAM,,,0.0001,,1,3.0128,-1.453566,,,,,,1,-0.0012,1.754,,-0.525228,-5531.666667,-8108,-0.792439,0,4793351869,United States of America,,FALSE,2836,24,66.61
2020-02-04,IPV,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09,4.8
2020-01-30,BDTX,,,,,1,22.4753,-0.948783,-0.205156,,-0.658215,,-42640,,,1.0581,,-0.069141,,,-0.211003,0,843144201.8,United States of America,,FALSE,2836,33,3.99
2020-01-17,LIZI,15.5694,269.7765,5.0506,,0.810694,1.4548,0.455513,,,-1.117787,,,0.245012,-9.7369,4.9116,,-0.093523,-0.059012,-0.054683,-0.485747,0.189306,472821805.7,China,,FALSE,7370,11.03,1.32
2020-12-31,SLNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,ILG,,,,,,,,,,,,,,,,,,,,,,,United States of America,5600,FALSE,6531,,
2020-12-31,??IVAN.U,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CMPX,,,,-9.838734,0.810589,4.971,0.164479,0.403135,,,,-23.8708,,,1.302,,-0.532537,,,-0.738515,0.151525,73997849.8,United States of America,,FALSE,2836,3.21,2.07
2020-12-31,GENI,9.7501,6.9401,0.3908,-0.01608,-0.458275,0.7187,2.417173,,,,,-0.6074,0.238235,0.5034,1.7079,,0.213733,-0.140498,-0.202673,0.217662,0.033762,431889007.6,United Kingdom,,FALSE,7990,16.5,5.85
2020-12-31,VNT,3.017,5.7686,0.9165,0.33841,0.093999,1.4101,-0.15085,,0.257006,1.413166,,,0.439289,1.5566,2.9395,,0.008002,0.173112,0.126451,1.821086,0.005456,7075160979,United States of America,,FALSE,3824,32.97757325,27.59
2019-12-19,INDO,,7.5312,0.2696,0.244467,0.936083,5.5036,-1.552508,,,1.188868,,,1,1.7261,1.4592,,-0.067304,-0.382863,-0.400094,-0.103356,0.063917,-13199728,Indonesia,,FALSE,1311,11,3.42
2019-12-13,SPT,13.7404,9.2537,0.5417,,1,3.6472,-1.715744,,,,,-95.9541,0.72588,-28.6092,1.4797,,-0.202785,-0.460222,-0.455733,-0.365309,0,160631054.8,United States of America,,FALSE,7372,18.05,60.54
2019-12-11,LIVK,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,4.27
2019-11-22,CHPM,,,0.0066,,-0.174576,,,,,,,,,0.0078,1.1298,,89.361458,,-12.318594,0.548639,0.000333,679119411,United States of America,,FALSE,6770,9.9,10.13
2019-11-21,YXR,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,,,7320,,
2019-11-13,YAYO,7.3916,,1.0825,,0,0.7904,,,,,,,0.324088,-4.533,-6.2368,,-1.284815,-0.407051,-0.568369,,0.226015,36074768.8,United States of America,,FALSE,7374,4.05,
2019-11-08,JIH,,,0,,0.017917,,,,,,,,,0,1.1348,,113.127875,,-2004.77482,-0.557327,4.00E-05,734148585,United States of America,,FALSE,6770,9.75,
2019-11-07,DFNS,,,,,,,,,,,,,,,,,,,,,,,Israel,,FALSE,5900,,
2019-11-05,QK,4.2547,280.2559,0.9473,,3.57279,0.1035,-5.312997,,,-0.283622,,,0.003765,-2.7162,-0.924,,0.516473,-1.242403,-1.269609,0.76526,-1.358706,275307672,,,FALSE,6510,17.35,0.45
2019-10-31,RAPT,,,,,1,8.6977,,,,,,,,,1.1247,,-0.160975,,api_500,-0.588025,0,42621104,United States of America,,FALSE,2834,12.25,22.65
