Date,Symbol,apturnover,arturnover,assetturnover,croic,commontocap,currentratio,ebitdagrowth,ebitdaqoqgrowth,efftaxrate,fcffgrowth,fcfftointerestex,grossmargin,investedcapitalturnover,leverageratio,nnep,operatingmargin,profitmargin,roe_simple,stdebttocap,enterprisevalue,country,employees,security_delisted,sic,ipo_price,current_price,success
2020-09-10,PIAI,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,0.0,FALSE,6770,9.51,9.85,
2020-09-04,TWND,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,9.8,9.82,
2020-09-01,PRFX,,,,-2.683548,1.0,18.513,-3.124638,-20.545705624390248,,-27.918888,-141.47812352941182,-0.12411437647058796,,1.7244,-0.551089,,,-0.243863,0.0,23458425.4,Israel,3.0,FALSE,2834,7.75,1.18,
2020-08-28,GP,,,,,,,,,,,,,,,,,,,,3164469138,Canada,48.0,FALSE,3713,22.0,5.1,
2020-08-26,FTOC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,3.0,FALSE,6770,9.7,9.647885620915034,
2020-08-21,FST,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,5.0,FALSE,6770,9.75,10.2,
2020-08-19,BFT,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,3.0,FALSE,6770,9.71,9.647885620915034,
2020-08-18,NGA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,9.7,9.647885620915034,
2020-08-14,DMYD,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,10.0,9.647885620915034,
2020-08-14,CVAC,2.6666,6.6037,0.0625,,1.050714,7.6997,-0.395497,-20.545705624390248,,8.119873,-141.47812352941182,0.276732,-0.1769,-1.5012,0.149707,-2.548988,-2.534736,0.20714,0.0,13051006213,Germany,484.0,FALSE,2834,44.0,18.38,
2020-08-13,GAME,0.0853,,,,0.778274,0.6152,-2.1379995000000003,-0.25,,-0.4683896666666667,-12.285833333333334,0.49645028571428573,,0.7382,1.505024,,,-0.44935,0.0,43215173.4,Canada,0.0,FALSE,7900,12.96,2.77,
2020-08-07,ARYA,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,72.0,FALSE,6770,10.5,9.647885620915034,
2020-08-07,CMPI,,,,,1.0,12.9652,-0.291692,-0.34244668750000007,,-2.0125720000000005,-1327.4615978723398,0.8209063648648648,,1.1083,-0.170278,,,-0.294795,0.0,189533383.1,United States of America,19.0,FALSE,2836,14.9,2.07,
2020-08-06,OSH,,,4.5212,-75.4084,0.983459,2.1781,-0.772981,,,-0.814866,-15.1475,0.24706,1008.8743,1.8455,-1.198963,-0.103947,-0.215271,-0.913184,0.0,14311415265,United States of America,2300.0,FALSE,8000,42.5,17.09,
2020-08-05,BOWX,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,10.0,8.16,
2020-08-04,YAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,9.95,9.647885620915034,
2020-07-31,ETAC,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,2.0,FALSE,6770,9.8,9.87,
2020-07-31,VITL,9.6384,11.5696,1.8368,0.026086,0.991312,5.2966,1.203972,0.4228615,0.237687,1.031083,2.2061,0.347807,5.1922,1.3391,-0.009544,0.057066,0.04146,0.062542,0.004048,736413867.4,United States of America,158.0,FALSE,2000,35.0,16.45,
2020-07-29,VERX,16.8719,5.0793,0.9143,,0.991417,1.3792,-2.335764,0.0017761041666666643,,-1.753371,-521.9703722689072,0.558574,-3.2682,7.2457,-0.032749,-0.279604,-0.210687,-0.350075,0.007593,4272837350,United States of America,1100.0,FALSE,7372,25.56,13.5,
2020-07-24,GRCY,,,0.0007,-1.044264,0.135931,9.430820000000004,-101.487077,1.039494,,-1.2466948,30758.0677625,0.77782075,0.0008,1.1259,-53.114657506329166,,-162.21635,-0.464717,0.0,84330192,China,4.0,FALSE,6770,9.7582,9.647885620915034,
2020-07-23,MEG,6.6859,4.313,0.7025,-0.950409,0.377861,1.2037,-1.502877,,,-0.617376,-15.6704,0.343499,1.4406,8.4306,0.242668,-0.070104,-0.176543,-0.422538,0.152872,1124055619,United States of America,1730.0,FALSE,8742,16.5,45.03,
2020-07-17,RNLX,0.4309,4.8646,0.03,,1.0,9.4578,-203.47093548275862,-1.3162343750000003,,-1.6872753636363635,13.751321739130423,0.424547,-0.9917,1.1383,-0.287559,-21.405768,-23.699531,-0.49448,0.0,459372072,United Kingdom,14.0,FALSE,8071,13.9,13.52,
2020-07-16,HPX,,,,,0.13974291752577314,9.430820000000004,-696.5921470869562,1.039494,,-1.2466948,30758.0677625,0.77782075,,,-53.114657506329166,,,-0.09477586516853943,-0.10440468041237114,,United States of America,1.0,FALSE,6770,9.99,9.86,
